Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Release_Year
You Got Served,40066497.0,48066497.0,,8000000.0,2004-01-30,PG-13,95.0,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,,16.0,2.6,17830.0,2004
Serving Sara,16930185.0,20146150.0,,29000000.0,2002-08-23,PG-13,,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,5.0,5.0,7973.0,2002
Session 9,378176.0,1619602.0,,1500000.0,2001-08-10,R,,,,,,Brad Anderson,60.0,6.8,14685.0,2001
Seven Years in Tibet,37945884.0,131445884.0,,70000000.0,1997-10-10,PG-13,139.0,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Jean-Jacques Annaud,59.0,6.7,29020.0,1997
Sex and the City,152647258.0,416047258.0,85061666.0,57500000.0,2008-05-30,R,,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,,49.0,5.4,46837.0,2008
Swordfish,69772969.0,147080413.0,,80000000.0,2001-06-08,R,99.0,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Dominic Sena,25.0,6.3,57952.0,2001
Something's Gotta Give,124685242.0,266685242.0,,80000000.0,2003-12-12,PG-13,128.0,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,70.0,6.8,36303.0,2003
Sugar Town,178095.0,178095.0,,250000.0,1999-09-17,R,,October Films,,Comedy,,,67.0,5.6,566.0,1999
Shade,22183.0,22183.0,,6800000.0,2004-04-09,R,,,,,,,,6.3,950.0,2004
Shadow of the Vampire,8279017.0,8279017.0,,8000000.0,2000-12-29,R,,Lionsgate,Original Screenplay,Drama,Historical Fiction,E. Elias Merhige,81.0,6.8,18221.0,2000
Shaft,70327868.0,107190108.0,,53012938.0,2000-06-16,R,99.0,Paramount Pictures,Remake,Action,Contemporary Fiction,John Singleton,68.0,5.9,32881.0,2000
The Shaggy Dog,61123569.0,87123569.0,28587103.0,60000000.0,2006-03-10,PG,,Walt Disney Pictures,Remake,Comedy,Fantasy,Brian Robbins,27.0,4.1,6116.0,2006
Scary Movie,157019771.0,277200000.0,,19000000.0,2000-07-07,R,88.0,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,53.0,6.0,68541.0,2000
Shaun of the Dead,13542874.0,29629128.0,,5000000.0,2004-09-24,R,,Focus/Rogue Pictures,Original Screenplay,Comedy,Fantasy,Edgar Wright,91.0,8.0,134693.0,2004
Shortbus,1985292.0,1985292.0,,2000000.0,2006-10-04,Not Rated,,ThinkFilm,Original Screenplay,Comedy,Contemporary Fiction,,66.0,6.7,14276.0,2006
She's All That,63465522.0,63465522.0,,10000000.0,1999-01-29,PG-13,91.0,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,38.0,5.4,28498.0,1999
She's the Man,33889159.0,56889159.0,33340509.0,25000000.0,2006-03-17,PG-13,,Paramount Pictures,Based on Play,Romantic Comedy,Contemporary Fiction,Andy Fickman,44.0,6.4,26513.0,2006
Sherrybaby,199176.0,622806.0,,2000000.0,2006-09-08,R,,IFC Films,Original Screenplay,Drama,Contemporary Fiction,,74.0,6.7,6372.0,2006
Shallow Hal,70836296.0,70836296.0,,40000000.0,2001-11-09,PG-13,113.0,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,50.0,6.0,35878.0,2001
Silent Hill,46982632.0,99982632.0,22104517.0,50000000.0,2006-04-21,R,,Sony Pictures,Based on Game,Horror,Contemporary Fiction,Christophe Gans,29.0,6.5,65485.0,2006
Shutter Island,128012934.0,294512934.0,22083616.0,80000000.0,2010-02-19,R,,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Martin Scorsese,67.0,8.0,105706.0,2010
Shakespeare in Love,100317794.0,279500000.0,,26000000.0,1998-12-11,R,122.0,Miramax,Original Screenplay,Romantic Comedy,Historical Fiction,John Madden,93.0,7.4,77911.0,1998
In the Shadow of the Moon,1134358.0,1134358.0,,2000000.0,2007-09-07,PG,100.0,ThinkFilm,Based on Real Life Events,Documentary,Factual,,94.0,8.0,2974.0,2007
Sherlock Holmes,209028679.0,518249844.0,42276167.0,80000000.0,2009-12-25,PG-13,,Warner Bros.,Based on Book/Short Story,Adventure,Historical Fiction,Guy Ritchie,69.0,7.5,91555.0,2009
She's Out of My League,31628317.0,49219151.0,7889235.0,20000000.0,2010-03-12,,,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,57.0,6.7,17449.0,2010
Shooter,47003582.0,95203582.0,57333255.0,60000000.0,2007-03-23,R,125.0,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Antoine Fuqua,48.0,7.2,149.0,2007
Shrek,267655011.0,484399218.0,,50000000.0,2001-05-18,PG,90.0,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89.0,8.0,163855.0,2001
Shrek 2,441226247.0,919838758.0,,70000000.0,2004-05-19,PG,92.0,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89.0,7.5,95658.0,2004
Shrek the Third,322719944.0,798958162.0,176400340.0,160000000.0,2007-05-18,PG,92.0,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,41.0,6.1,59778.0,2007
Shrek Forever After,238395990.0,729395990.0,,165000000.0,2010-05-21,PG,93.0,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,,6.7,12193.0,2010
Shark Tale,160861908.0,367275019.0,,75000000.0,2004-10-01,PG,90.0,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Rob Letterman,35.0,5.9,40019.0,2004
Shattered Glass,2207975.0,2932719.0,,6000000.0,2003-10-31,PG-13,,Lionsgate,Based on Real Life Events,Drama,Dramatization,,91.0,7.4,14575.0,2003
Stealing Harvard,13973532.0,13973532.0,,25000000.0,2002-09-13,PG-13,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,8.0,4.7,6899.0,2002
Showtime,37948765.0,78948765.0,,85000000.0,2002-03-15,PG-13,95.0,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Dey,24.0,5.3,22128.0,2002
Sicko,24538513.0,33538513.0,17438209.0,9000000.0,2007-06-22,PG-13,,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,93.0,8.2,40886.0,2007
The Siege,40934175.0,116625798.0,,70000000.0,1998-11-06,R,116.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Edward Zwick,44.0,,,1998
Signs,227965690.0,408265690.0,,70702619.0,2002-08-02,PG-13,106.0,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,74.0,6.9,111561.0,2002
Simon Birch,18253415.0,18253415.0,,20000000.0,1998-09-11,PG,110.0,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Mark Steven Johnson,44.0,6.7,11371.0,1998
A Simple Wish,8165213.0,8165213.0,,28000000.0,1997-07-11,PG,,Universal,Original Screenplay,Comedy,Fantasy,Michael Ritchie,27.0,4.9,1545.0,1997
The Simpsons Movie,183135014.0,527071022.0,96359085.0,72500000.0,2007-07-27,PG-13,86.0,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,David Silverman,89.0,7.6,117656.0,2007
Sinbad: Legend of the Seven Seas,26483452.0,80767884.0,,60000000.0,2003-07-02,PG,86.0,Dreamworks SKG,Traditional/Legend/Fairytale,Adventure,Kids Fiction,Tim Johnson,,6.6,7895.0,2003
Sin City,74103820.0,158753820.0,,40000000.0,2005-04-01,R,126.0,Miramax/Dimension,Based on Comic/Graphic Novel,Action,Fantasy,Robert Rodriguez,77.0,8.3,255814.0,2005
The Singing Detective,336456.0,524747.0,,8000000.0,2003-10-24,R,,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,,38.0,5.6,4441.0,2003
The Sixth Sense,293506292.0,672806292.0,,40000000.0,1999-08-06,PG-13,107.0,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,M. Night Shyamalan,85.0,8.2,238745.0,1999
Super Size Me,11529368.0,29529368.0,,65000.0,2004-05-07,PG-13,,IDP Distribution,Based on Real Life Events,Documentary,Factual,Morgan Spurlock,,7.6,33805.0,2004
The Skeleton Key,47907715.0,92907715.0,,40000000.0,2005-08-12,PG-13,,Universal,Original Screenplay,Horror,Contemporary Fiction,Iain Softley,38.0,6.5,29810.0,2005
The Skulls,35007180.0,35007180.0,,15000000.0,2000-03-31,PG-13,107.0,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Rob Cohen,8.0,5.3,14903.0,2000
Sky High,63939454.0,81627454.0,,60000000.0,2005-07-29,PG,102.0,Walt Disney Pictures,Original Screenplay,Adventure,Super Hero,,73.0,6.6,20923.0,2005
Slackers,4814244.0,4814244.0,,11000000.0,2002-02-01,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,11.0,4.9,7934.0,2002
Ready to Rumble,12372410.0,12372410.0,,24000000.0,2000-04-07,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Brian Robbins,25.0,,,2000
Soldier,14623082.0,14623082.0,,75000000.0,1998-10-23,R,,Warner Bros.,Original Screenplay,Action,Science Fiction,Paul Anderson,,,,1998
Sleepy Hollow,101068340.0,207068340.0,,70000000.0,1999-11-19,R,105.0,Paramount Pictures,Based on Book/Short Story,Horror,Historical Fiction,Tim Burton,68.0,7.5,107511.0,1999
Lucky Number Slevin,22495466.0,55495466.0,26858545.0,27000000.0,2006-04-07,R,,MGM,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Paul McGuigan,51.0,7.8,91145.0,2006
The Secret Life of Bees,37766350.0,39612166.0,17077991.0,11000000.0,2008-10-17,PG-13,110.0,Fox Searchlight,Based on Book/Short Story,Drama,Historical Fiction,,57.0,7.0,7077.0,2008
Hannibal,165092266.0,350100280.0,,87000000.0,2001-02-09,R,131.0,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Ridley Scott,39.0,6.4,74862.0,2001
Southland Tales,275380.0,364607.0,,17000000.0,2007-11-14,R,,Samuel Goldwyn Films,Original Screenplay,Musical,Contemporary Fiction,Richard Kelly,,5.6,20172.0,2007
Slow Burn,1237615.0,1237615.0,893953.0,15500000.0,2007-04-13,R,93.0,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,12.0,5.9,2318.0,2007
Sleepover,9408183.0,9408183.0,,10000000.0,2004-07-09,PG,,MGM,Original Screenplay,Comedy,Contemporary Fiction,,15.0,4.6,4774.0,2004
The Bridge of San Luis Rey,49981.0,1696765.0,,24000000.0,2005-06-10,PG,,Fine Line,Based on Book/Short Story,Drama,,,4.0,5.0,1913.0,2005
Slither,7802450.0,12834936.0,7475776.0,15250000.0,2006-03-31,R,,Universal,Original Screenplay,Horror,Science Fiction,,85.0,6.6,26101.0,2006
Slumdog Millionaire,141319928.0,365257315.0,31952272.0,14000000.0,2008-11-12,R,116.0,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Danny Boyle,94.0,8.3,176325.0,2008
Slums of Beverly Hills,5502773.0,5502773.0,,5000000.0,1998-08-14,R,,Fox Searchlight,Based on Real Life Events,Comedy,Dramatization,Tamara Jenkins,79.0,6.4,5821.0,1998
Small Soldiers,55143823.0,71743823.0,,40000000.0,1998-07-10,PG-13,110.0,Dreamworks SKG,Original Screenplay,Comedy,Kids Fiction,Joe Dante,46.0,5.9,20571.0,1998
Mr. And Mrs. Smith,186336279.0,478336279.0,,110000000.0,2005-06-10,PG-13,112.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Doug Liman,,4.7,189.0,2005
Smokin' Aces,35662731.0,56047261.0,35817034.0,17000000.0,2007-01-26,R,108.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Joe Carnahan,28.0,6.6,57313.0,2007
Someone Like You,27338033.0,38684906.0,,23000000.0,2001-03-30,PG-13,97.0,20th Century Fox,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Tony Goldwyn,41.0,5.8,10073.0,2001
Death to Smoochy,8355815.0,8374062.0,,50000000.0,2002-03-29,R,,Warner Bros.,Original Screenplay,Black Comedy,Contemporary Fiction,Danny De Vito,42.0,6.2,22379.0,2002
Simply Irresistible,4398989.0,4398989.0,,6000000.0,1999-02-05,PG-13,,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,,14.0,4.8,6927.0,1999
Summer Catch,19693891.0,19693891.0,,17000000.0,2001-08-24,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,7.0,4.6,6848.0,2001
There's Something About Mary,176484651.0,360099999.0,,22000000.0,1998-07-15,R,119.0,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,83.0,7.2,96443.0,1998
Snake Eyes,55591409.0,103891409.0,,73000000.0,1998-08-07,R,99.0,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,41.0,5.8,29321.0,1998
Snakes on a Plane,34020814.0,62020814.0,23704179.0,33000000.0,2006-08-18,R,105.0,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David R. Ellis,68.0,6.0,65841.0,2006
Lemony Snicket's A Series of Unfortunate Events,118627117.0,201627117.0,,100000000.0,2004-12-17,PG,108.0,Paramount Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Brad Silberling,71.0,6.9,51614.0,2004
House of Sand and Fog,13005485.0,16157923.0,,16500000.0,2003-12-19,R,,Dreamworks SKG,Based on Book/Short Story,Drama,Contemporary Fiction,,75.0,7.8,29777.0,2003
A Sound of Thunder,1900451.0,6300451.0,,80000000.0,2005-09-02,PG-13,,Warner Bros.,Based on Book/Short Story,Action,Science Fiction,Peter Hyams,6.0,4.1,9915.0,2005
See No Evil,15032800.0,15387513.0,45391536.0,8000000.0,2006-05-19,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,,9.0,5.0,10035.0,2006
The Shipping News,11405825.0,24405825.0,,35000000.0,2001-12-25,R,,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Lasse Hallstrom,55.0,6.7,17338.0,2001
Shanghai Knights,60470220.0,60470220.0,,50000000.0,2003-02-07,PG-13,114.0,Walt Disney Pictures,Original Screenplay,Adventure,Historical Fiction,David Dobkin,66.0,6.2,24893.0,2003
Shanghai Noon,56932305.0,71189835.0,,55000000.0,2000-05-26,PG-13,110.0,Walt Disney Pictures,Original Screenplay,Western,Historical Fiction,Tom Dey,78.0,6.6,32446.0,2000
Snow Dogs,81150692.0,115010692.0,,32000000.0,2002-01-18,PG,99.0,Walt Disney Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Brian Levant,23.0,4.9,7561.0,2002
Snow Falling on Cedars,14378353.0,14378353.0,,36000000.0,1999-12-24,PG-13,,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,,40.0,6.7,8444.0,1999
Sunshine,3688560.0,32030610.0,6342481.0,40000000.0,2007-07-20,R,108.0,Fox Searchlight,Original Screenplay,Thriller/Suspense,Science Fiction,Danny Boyle,74.0,7.3,74535.0,2007
Snatch,30093107.0,83593107.0,,10000000.0,2000-12-08,R,103.0,Sony Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,Guy Ritchie,,8.2,173919.0,2000
Snow Day,60008303.0,62452927.0,,13000000.0,2000-02-11,PG,89.0,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,26.0,4.4,4611.0,2000
Sorority Boys,10198766.0,12516222.0,,12000000.0,2002-03-22,R,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,13.0,5.1,7392.0,2002
Solaris,14970038.0,14970038.0,,47000000.0,2002-11-27,PG-13,,20th Century Fox,Remake,Drama,Science Fiction,Steven Soderbergh,65.0,6.2,33151.0,2002
Solitary Man,4354546.0,4354546.0,,12500000.0,2010-05-21,R,,Anchor Bay Entertainment,,Drama,,,,6.7,1936.0,2010
The Soloist,31720158.0,38286958.0,10310814.0,60000000.0,2009-04-24,PG-13,117.0,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Joe Wright,,6.7,14257.0,2009
Songcatcher,3050934.0,3050934.0,,1800000.0,2001-06-15,PG-13,,Lionsgate,Original Screenplay,Drama,Historical Fiction,,,6.9,1997.0,2001
Sonny,17639.0,17639.0,,4000000.0,2002-12-27,R,,,,,,,23.0,5.7,1941.0,2002
Standard Operating Procedure,228830.0,228830.0,,5000000.0,2008-04-25,R,,Sony Pictures Classics,Based on Real Life Events,Documentary,Factual,,80.0,7.5,1640.0,2008
The Sorcerer's Apprentice,62492818.0,200092818.0,,160000000.0,2010-07-14,PG,110.0,Walt Disney Pictures,Based on Short Film,Adventure,Fantasy,,42.0,6.4,9108.0,2010
Soul Food,43492389.0,43492389.0,,7500000.0,1997-09-26,R,114.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,80.0,6.4,2636.0,1997
Soul Plane,13922211.0,14553807.0,,16000000.0,2004-05-28,R,,MGM,Original Screenplay,Comedy,Contemporary Fiction,,19.0,3.7,9143.0,2004
"South Park: Bigger, Longer & Uncut",52037603.0,52037603.0,,21000000.0,1999-06-30,R,80.0,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,Trey Parker,80.0,,,1999
Space Jam,90463534.0,250200000.0,,80000000.0,1996-11-15,PG,87.0,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,Joe Pytka,36.0,5.6,29293.0,1996
Spanglish,42044321.0,54344321.0,,75000000.0,2004-12-17,PG-13,103.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,James L. Brooks,52.0,6.7,30660.0,2004
Spawn,54979992.0,87949859.0,,40000000.0,1997-07-31,PG-13,97.0,New Line,Based on Comic/Graphic Novel,Action,Contemporary Fiction,,20.0,4.8,21366.0,1997
Superbad,121463226.0,169863226.0,134555373.0,17500000.0,2007-08-17,R,112.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Greg Mottola,87.0,7.8,134212.0,2007
SpongeBob SquarePants,85416609.0,140416609.0,,30000000.0,2004-11-19,PG,90.0,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,,,,2004
Space Chimps,30105968.0,59517784.0,13349286.0,37000000.0,2008-07-18,G,,20th Century Fox,Original Screenplay,Adventure,Kids Fiction,,36.0,4.5,4324.0,2008
Space Cowboys,90454043.0,128874043.0,,65000000.0,2000-08-04,PG-13,130.0,Warner Bros.,Original Screenplay,Adventure,Science Fiction,Clint Eastwood,79.0,6.3,29983.0,2000
Spider,1641788.0,1641788.0,,10000000.0,2003-02-28,R,,Sony Pictures Classics,Based on Book/Short Story,Drama,Contemporary Fiction,David Cronenberg,,7.8,560.0,2003
Speed Racer,43945766.0,93394462.0,14217924.0,120000000.0,2008-05-09,PG,,Warner Bros.,Based on TV,Action,Science Fiction,Andy Wachowski,38.0,6.3,32672.0,2008
The Spiderwick Chronicles,71195053.0,162839667.0,27525903.0,92500000.0,2008-02-14,PG,,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Mark Waters,79.0,6.8,18715.0,2008
Speedway Junky,17127.0,17127.0,,1000000.0,2001-08-31,R,,,,,,,,3.7,1205.0,2001
Speed II: Cruise Control,48097081.0,150468000.0,,110000000.0,1997-06-13,PG-13,125.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Jan De Bont,,3.4,30896.0,1997
Sphere,37068294.0,50168294.0,,73000000.0,1998-02-13,PG-13,132.0,Warner Bros.,Based on Book/Short Story,Horror,Science Fiction,Barry Levinson,12.0,5.6,31461.0,1998
Spiceworld,29342592.0,56042592.0,,25000000.0,1998-01-23,PG,92.0,Sony Pictures,Musical Group Movie,Comedy,Contemporary Fiction,,,2.9,18010.0,1998
Spider-Man 2,373524485.0,783705001.0,4196484.0,200000000.0,2004-06-30,PG-13,127.0,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,93.0,7.7,141940.0,2004
Spider-Man 3,336530303.0,890871626.0,124058348.0,258000000.0,2007-05-04,PG-13,139.0,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,63.0,6.4,141513.0,2007
Spider-Man,403706375.0,821708551.0,,139000000.0,2002-05-03,PG-13,121.0,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,89.0,7.4,167524.0,2002
Scott Pilgrim vs. The World,31167395.0,43149143.0,,85000000.0,2010-08-13,PG-13,112.0,Universal,Based on Comic/Graphic Novel,Comedy,Contemporary Fiction,Edgar Wright,81.0,8.1,17461.0,2010
See Spot Run,33357476.0,43057552.0,,16000000.0,2001-03-02,PG,97.0,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,,24.0,4.9,3673.0,2001
Superman Returns,200120000.0,391120000.0,81580739.0,232000000.0,2006-06-28,PG-13,157.0,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Bryan Singer,76.0,6.6,102751.0,2006
Supernova,14218868.0,14218868.0,,60000000.0,2000-01-14,PG-13,,MGM,Original Screenplay,Action,Science Fiction,Francis Ford Coppola,10.0,6.8,127.0,2000
Spirited Away,10049886.0,274949886.0,,19000000.0,2002-09-20,PG,,Walt Disney Pictures,Original Screenplay,Adventure,Fantasy,Hayao Miyazaki,,,,2002
Spun,410241.0,1022649.0,,4500000.0,2003-03-14,R,,,,,,,,6.6,16011.0,2003
Spy Game,62362560.0,143049560.0,,90000000.0,2001-11-21,R,126.0,Universal,Original Screenplay,Action,Contemporary Fiction,Tony Scott,65.0,6.9,44850.0,2001
Spy Kids 2: The Island of Lost Dreams,85846296.0,119721296.0,,38000000.0,2002-08-07,PG,100.0,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,75.0,,,2002
Spy Kids 3-D: Game Over,111760631.0,167851995.0,,40000000.0,2003-07-25,PG,84.0,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,,4.1,12352.0,2003
Spy Kids,112692062.0,197692062.0,,35000000.0,2001-03-30,PG,88.0,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,93.0,5.7,23479.0,2001
The Square,406216.0,406216.0,,1900000.0,2010-04-09,R,,Apparition,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,6.8,1303.0,2010
The Squid and the Whale,7372734.0,11098131.0,,1500000.0,2005-10-05,R,,IDP/Goldwyn/Roadside,Based on Real Life Events,Drama,Dramatization,Noah Baumbach,93.0,7.6,23521.0,2005
Serendipity,50255310.0,75294136.0,,28000000.0,2001-10-05,PG-13,91.0,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Peter Chelsom,58.0,6.6,32014.0,2001
Saint Ralph,795126.0,795126.0,,5200000.0,2005-08-05,PG-13,,Samuel Goldwyn Films,Original Screenplay,Comedy,Historical Fiction,,,7.5,3492.0,2005
Shaolin Soccer,488872.0,42776032.0,,10000000.0,2004-04-02,PG-13,,Miramax,Original Screenplay,Comedy,,Stephen Chow,91.0,,,2004
Superstar,30628981.0,30628981.0,,14000000.0,1999-10-08,PG-13,82.0,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,,33.0,6.0,103.0,1999
Soul Survivors,3100650.0,4288246.0,,14000000.0,2001-09-07,PG-13,,Artisan,Original Screenplay,Horror,Contemporary Fiction,,4.0,3.6,5116.0,2001
Spirit: Stallion of the Cimarron,73215310.0,106515310.0,,80000000.0,2002-05-24,G,84.0,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Kelly Asbury,,6.6,8622.0,2002
Star Wars Ep. II: Attack of the Clones,310676740.0,656695615.0,,115000000.0,2002-05-16,PG,142.0,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,,,,2002
Star Wars Ep. III: Revenge of the Sith,380270577.0,848998877.0,,115000000.0,2005-05-19,PG-13,140.0,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,,,,2005
Starship Troopers,54768952.0,121100000.0,,100000000.0,1997-11-07,R,129.0,Sony Pictures,Based on Book/Short Story,Action,Science Fiction,Paul Verhoeven,60.0,7.1,83516.0,1997
The Station Agent,5801558.0,7773824.0,,500000.0,2003-10-03,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,,95.0,7.8,22274.0,2003
Stay Alive,23086480.0,23187506.0,13333591.0,20000000.0,2006-03-24,PG-13,91.0,Walt Disney Pictures,Original Screenplay,Horror,Contemporary Fiction,,9.0,4.5,13658.0,2006
Small Time Crooks,17266359.0,29934477.0,,18000000.0,2000-05-19,PG,,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Woody Allen,66.0,6.5,15636.0,2000
Steel,1686429.0,1686429.0,,16000000.0,1997-08-15,PG-13,,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,,12.0,2.7,4409.0,1997
How Stella Got Her Groove Back,37672944.0,37672944.0,,20000000.0,1998-08-14,R,124.0,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,,49.0,5.1,3080.0,1998
The Stepford Wives,59475623.0,96221971.0,,100000000.0,2004-06-11,PG-13,93.0,Paramount Pictures,Remake,Comedy,Contemporary Fiction,Frank Oz,26.0,5.1,26712.0,2004
Stepmom,91137662.0,119709917.0,,50000000.0,1998-12-25,PG-13,127.0,Sony/TriStar,Original Screenplay,Drama,Contemporary Fiction,Chris Columbus,43.0,6.2,18505.0,1998
Stomp the Yard,61356221.0,76356221.0,33252252.0,14000000.0,2007-01-12,PG-13,113.0,Sony/Screen Gems,Original Screenplay,Drama,Contemporary Fiction,,26.0,4.3,13737.0,2007
Stranger Than Fiction,40435190.0,45235190.0,30936711.0,30000000.0,2006-11-10,PG-13,112.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Marc Forster,72.0,7.8,74218.0,2006
The Legend of Suriyothai,454255.0,454255.0,,9000000.0,2003-06-20,R,,,,,,,,,,2003
Stick It,26910736.0,30399714.0,27642935.0,20000000.0,2006-04-28,PG-13,103.0,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,31.0,5.9,9556.0,2006
Stigmata,50041732.0,89441732.0,,32000000.0,1999-09-10,R,103.0,MGM,Original Screenplay,Horror,Contemporary Fiction,Rupert Wainwright,22.0,6.0,29411.0,1999
A Stir of Echoes,21133087.0,21133087.0,,12000000.0,1999-09-10,R,110.0,Artisan,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,David Koepp,,7.1,26752.0,1999
Street Kings,26415649.0,65589243.0,13420759.0,20000000.0,2008-04-11,R,,Fox Searchlight,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,36.0,7.0,40291.0,2008
Stuart Little,140015224.0,298800000.0,,105000000.0,1999-12-17,PG,92.0,Sony Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Rob Minkoff,65.0,5.8,23226.0,1999
Stuart Little 2,64956806.0,166000000.0,,120000000.0,2002-07-19,PG,78.0,Sony Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Rob Minkoff,83.0,5.6,7534.0,2002
Stealth,32116746.0,76416746.0,,138000000.0,2005-07-29,PG-13,,Sony Pictures,Original Screenplay,Action,Science Fiction,Rob Cohen,13.0,4.8,21664.0,2005
Steamboy,468867.0,10468867.0,,20000000.0,2005-03-18,PG-13,,Sony Pictures,Original Screenplay,Action,,,,,,2005
The Statement,765637.0,1545064.0,,27000000.0,2003-12-12,R,,Sony Pictures,,Thriller/Suspense,,Norman Jewison,23.0,6.0,2735.0,2003
